Days,Unboosted_Population,years,Unboosted_Person_Years,Unboosted_COVID_Deaths_by_Date,Unboosted_Incremental_COVID_Deaths,Unboosted_Fraction_of_Total_COVID_Deaths,Unboosted_Cum_Person_Years,Unboosted_Person_Years_of_Risk,Unboosted_COVID_Death_Rate,Unboosted_Non_COVID_Deaths,Unboosted_Incremental_Non_COVID_Deaths,Unboosted_Non_COVID_Death_Rate,Boosted_Population,years,Boosted_Person_Years,Boosted_COVID_Deaths_by_Date,Boosted_Incremental_COVID_Deaths,Boosted_Fraction_of_Total_COVID_Deaths,Boosted_Cum_Person_Years,Boosted_Person_Years_of_Risk,Boosted_COVID_Death_Rate,Boosted_Non_COVID_Deaths,Boosted_Incremental_Non_COVID_Deaths,Boosted_Non-COVID_Death_Rate,,Death_Rate_Ratios_Non_COVID,Death_Rate_Ratios_COVID,,Unboosted_Death_Rate_Ratios_COVID_to_Non_COVID,Boosted_Death_Rate_Ratios_COVID_to_Non_COVID,,Six_Day_Cases,Six_Day_Deaths,Six_Day_Hospitalizations
0,841428,0.016438,0,0,0,0,0,0,0,241,241,0.019,46259,0.016438,0,0,0,0,0,0,0,6,6,0.004,,0.235300087,0,,0,0,,4672.67,13,864.83
6,723609,0.016438,12863.0391,3,3,0.02189781,12863.0391,12863.0391,0.000293399,425,184,0.018,119332,0.016438,1360.992429,0,0,0,1961.579416,1201.173974,0,22,16,0.004,,0.237266477,0,,0.016263473,0,,6345.5,19.5,1152.33
12,520459,0.016438,10224.99489,20,17,0.124087591,23088.034,10224.99489,0.002441428,554,128,0.018,322203,0.016438,3628.976165,4,4,0.061538462,7257.95233,3334.793498,0.001228031,51,30,0.004,,0.234174541,0.50299686,,0.132485916,0.284574059,,7133.33,25.33,1355
18,326741,0.016438,6963.1368,43,23,0.167883212,30051.1708,6963.1368,0.005284595,634,80,0.018,515639,0.016438,6886.223398,12,8,0.123076923,15734.02621,3179.700968,0.003069434,92,41,0.004,,0.234174541,0.580826744,,0.286772461,0.71128618,,8749.83,22.17,1418.5
24,202797,0.016438,4352.272822,72,29,0.211678832,34403.44362,4352.272822,0.010144414,687,53,0.018,639315,0.016438,9492.566926,23,11,0.169230769,26243.08618,2032.986088,0.00738529,140,47,0.004,,0.234174541,0.728015481,,0.550494117,1.711408242,,10225.83,27.5,1407.17
30,145021,0.016438,2858.716142,103,31,0.226277372,37262.15976,2858.716142,0.014688523,726,39,0.018,696859,0.016438,10982.01411,33,10,0.153846154,37698.05442,945.908272,0.013420987,190,51,0.004,,0.234174541,0.913705692,,0.797083565,3.110072458,,6887,27.83,1335
36,111761,0.016438,2110.491258,119,16,0.116788321,39372.65102,2110.491258,0.009119954,758,32,0.018,729971,0.016438,11727.11577,46,13,0.2,49697.31772,544.295056,0.036710322,242,52,0.004,,0.234174541,4.025275031,,0.494901025,8.506956954,,9019.5,24,1342
42,101695,0.016438,1754.394864,129,10,0.072992701,41127.04588,1754.394864,0.006345834,787,29,0.018,739945,0.016438,12081.2396,57,11,0.169230769,61860.53363,163.952612,0.050276571,295,53,0.004,,0.234174541,7.922768595,,0.344361349,11.65069127,,6538.33,21.17,1348.5
48,90036,0.016438,1575.837089,134,5,0.03649635,42702.88297,1575.837089,0.003495742,813,26,0.018,756591,0.016438,12300.02938,62,5,0.076923077,74297.37649,273.626948,0.034430161,349,54,0.004,,0.234174541,9.849170864,,0.189699025,7.978570624,,4460.33,16.67,1205.83
54,83989,0.016438,1430.311475,137,3,0.02189781,44133.19445,1430.311475,0.004345901,826,13,0.018,757614,0.016438,12445.2509,65,3,0.046153846,86751.03542,16.816074,-0.000482438,376,27,0.004,,0.234174541,-0.111009779,,0.235833546,-0.111796226,,3183.83,25.17,1075